Xi=0.1, T_critical=0.344
T	Rho_c
0.120	5.490e-07
0.130	1.890e-06
0.139	5.170e-06
0.149	1.330e-05
0.159	2.770e-05
0.169	5.570e-05
0.178	1.050e-04
0.188	1.800e-04
0.198	2.930e-04
0.208	4.590e-04
0.217	6.850e-04
0.227	9.640e-04
0.237	1.360e-03
0.247	1.800e-03
0.256	2.390e-03
0.266	3.050e-03
0.276	3.770e-03
0.286	4.560e-03
0.295	5.420e-03
0.305	6.280e-03
0.315	7.140e-03
0.325	7.840e-03
0.334	8.340e-03
0.344	8.580e-03
Xi=0.2, T_critical=0.320
T	Rho_c
0.100	7.510e-07
0.120	8.080e-07
0.140	7.390e-06
0.160	3.920e-05
0.180	1.440e-04
0.200	3.910e-04
0.220	8.950e-04
0.240	1.680e-03
0.260	2.850e-03
0.280	4.280e-03
0.300	5.770e-03
0.320	6.730e-03
Xi=0.5, T_critical=0.280
T	Rho_c
0.100	1.120e-07
0.120	2.160e-06
0.140	1.720e-05
0.160	7.730e-05
0.180	2.400e-04
0.200	5.730e-04
0.220	1.100e-03
0.240	1.820e-03
0.260	2.550e-03
0.280	2.980e-03
Xi=1.0, T_critical=0.260
T	Rho_c
0.100	3.560e-07
0.120	4.370e-06
0.140	2.550e-05
0.160	9.160e-05
0.180	2.360e-04
0.200	4.700e-04
0.220	7.710e-04
0.240	1.050e-03
0.260	1.180e-03
Xi=2.0, T_critical=0.260
T	Rho_c
0.100	3.670e-07
0.120	4.240e-06
0.140	2.350e-05
0.160	7.940e-05
0.180	1.920e-04
0.200	3.630e-04
0.220	5.580e-04
0.240	7.130e-04
0.260	7.400e-04
Xi=3.0, T_critical=0.260
T	Rho_c
0.100	3.670e-07
0.120	4.250e-06
0.140	2.320e-05
0.160	7.730e-05
0.180	1.860e-04
0.200	3.460e-04
0.220	5.230e-04
0.240	6.600e-04
0.260	6.680e-04
Xi=4.0, T_critical=0.260
T	Rho_c
0.100	3.650e-07
0.120	4.180e-06
0.140	2.280e-05
0.160	7.650e-05
0.180	1.840e-04
0.200	3.420e-04
0.220	5.130e-04
0.240	6.420e-04
0.260	6.470e-04
